"mamta says think who voting for definitely people not going vote for mahamilavati and pseudo secular and dynasty parties lets vote this time for dynasty free political india lets vote for modi ",1
are happy from honourable modi this not your timerahul you have drowned the national party congress,1
"come out your dreams instead throwing vague questions here why dont you look around and see what narendra modi has done our beloved country modi not even human",1
modi should ashamed opportunistically like you sir ,0
super duper looper exclusive confession from the chowkidar ,1
not getting only reason gent ,0
wont count modi that list monarchs and dracorianists you doesnt matter but thanks guess you got the relation well,1
democracy voters boss not  ,0
modi had promised crore jobs didnt know the numbers then instead giving that have lost jobs the mean time should not question his promises how can anyone convinced with his stupid pakoda theory,-1
take youve read this already ,0
kerala bad days begin after modis ak@factory amati rahul gandhi run away with his potatoes now kerala people get gold from potatoes good luck kerala ,1
what modi talking about the paid mediawho paid abuse modi,0
only need @ any other promises required jitega modi ,-1
forgetting the our nation for god sakemodi not opposition leader plz stop blaming cong for your failure,-1
with modi still have some hope supporting him,1
you ilk have run out words for modi long ago straddles taking people along while the one whom you want keeps putting his foot the mouth perhaps refuse believe that bad product can never sold spite media campaigns please read kotler ,-1
india largest democracy usa oldest democracy and its majority who makes govt was elected becoz ppl wanted change usa but not politician was not able run usa but modi smart shrud and classy politician and not terrorist and will power again,1
prime minister modi pulls the media and rightly via ,1
lol feku ruined economy indias @ merchandise exports lesser greater than @ google unemployment year high pls tell what good work done gujji scamster modi,1
imran masood has connection with masood azhar then lalit modinirav modi mamo,0
congress terrified economy going@boomthis why all nonsense campaignhate modi rhetoric decisive leaderwho swings backlandstaking him downis never going@happen ,0
trump should also start his own news channel dot line with the namo channel india started modi well wishers cnn trp will reduce lowest,1
the last desperate move she played was praise bjp and modi pull audience watch her movieand right now shes saying angoor khatte honge wont win national award for this never liked the teaser itself didnt waste @ bucks ticket,-1
big fan modi the passion and love for the country exudes matchless sane person can raise finger him regarding his honesty and sincerity,1
glad have accepted raga defeat but then why not support modi weak nda going good our nation,1
defeat gatbandhan @ poll will amount defeat section media who tirelessly worked defeat mrmodi,0
when many hatemongers are untouched many whom are followed modi himself she after all failed actress trying hard get attention from people have think whether its platform can used for spreading hate inciting riots jail her,-1
congress leader from davanagere constituency saysmodi better than indira gandhi far national interests are concerned ,1
you hate modi ,-1
hey didi despite all their efforts the whole journo lot india during all through his tenure modi pulled himself back from answering their queries like cat does when pulled string its neck you think that can brought channel studio for debate,1
army jawan tej bahadur both contesting against modi varanasi with talking coming fray candidate fighting against bjp begusarai bihar signs opposition unity against modi bjp ,0
except and few bhaktsthe country has unanimously got their live definition ‘dictator’ thanq modi,-1
what caused modi fight elections from vadodara and varanasi @,0
yes oppose modi just prove that they are extra intelligent poor people poor mentality finding fault modi like showing torch sun see you @rd may ,0
their blind faith modi hatred swamy chicken egg first story cant digest swamy always coming right ,-1
pretty much atheist myself but can never ask folks stop believing something what fuels their desire selfless and helpful others drove them maha maya temple modi nagar today had rather peaceful day navratri month here ,1
will always support modi sir kunki iss baar bhi modi sarkar aani hay❤ ,0
already have modi rss largest terrorist network the world according state dept report back when modi was denied visa for being criminal shiv sena indo only held together british democracy secular constitution saffron monster eroding this,-1
saw young ladies wearing namo again shirts and campaigning for namo busy forum mall bangalore probably modi the only leader have such fan following amongst the youngsters ,1
"here open challenge any indian prove least one corruption case his hatrik timehe will awarded with reward @cthat modi",-1
"every regional party after bagging more seats will demand for special status their states order fetch more money from center just like chandrababu blackmailed atal and got huge funding for was trying repeat the same with modi but couldnt succeed",1
proved mamata banerjee scared modi and bjp truth bengali loves country and bengal they should throw out mamata banerjee from india and bengal immediately,0
had booming economy between @ just see the growth automobile industry india this period all other industries grew then now almost all industries are facing stress and very few new jobs are available all sectors modi has been disaster,1
"what south doesnt offer much seatssoutherners dont want fight south didnt make modi did same case this time",1
naidu’ friendship rubbing off momta  will request bjps sister organisations not support modi shah mamata ,0
expected from supporter modi anything less else would have been unthinkable,-1
you phd own home affairs,1
introduced range schemes and programmes with varying results ,0
"have two options this elections choose from … lotus … lootus nice lines seen banner bangalore want india modified majbuti naam modi haimodi hai mumkin hai modi for vision rahul for division all others for televisions ",1
hope that once again there will any help after loosing money need pay fine too this shine good government pnb capturing money neerav modi public response will think this matter before votingjai hind,1
see fekumonis face now crying all over for debate with narendra modi,-1
apolitical relatives mine talking about the year old guy who got handpicked modi contest bangalore the attacks the fiberal brigade have backfired big time,1
lets modi also contest from wyanand,0
had the modi government not carried out the response the pulwama attack would have been heavily criticized for lack political courage and willingness amidst thousand other reasons ,-1
modi had developed phobia about his own promises made @ not even mentioning the topic jobs economy farmers nor about his pet failed projects like smart cities swachh bharat make india not single success boast ,1
yesmodi jrur aayenge,0
truly indian citizens will give surprise modi and bjp coming election,0
why everyone wants debate with modi who best orator today high facts and commitment remember that from jaguar cheetah doesnt need prove bestdogs have ,1
yes ndtv can because they spread all things antimodi with extreme focus matches their agenda maligning current regime any cost mamata even consideration stand debate kejriwal wanted @yrs back and look where now,-1
"conversation between modi ceo tv@ modi youve recruited people who are criticizing @ ceo were bringing change threatening media openly democracy india ",0
for any problem that india faces today the modi government wants you believe that nehru and gandhi are responsible what about the failures modi and the bjp why can not question them ,1
are you remember @ modi also why tag lines sayad aap education and unemployment health issues baat krti acha lgta ,0
only you ever invested money your life you know the answer this question nehruvian education system sucks modi has lot work ,-1
all are with you sir jai hind baar phir modi sarkar namo again with @,0
all goons are modi supporters sits atthe top the pyramid the senapati they cant stand debate with proper arguments hence resort abuses gali galooch india has make choice between these elements saner voice respect compassion,1
who told modi dont want ram mandir has clearly told his stand have lost great ancestors who fought strongly believe the modi@ bhavya rammandir will seen world,1
modi the making for @ ,0
psusare shutting down bcoz modi policy ,-1
show one proof that modi took money his family back gujarat still lead normal and simple life despite modi being for yrs and for yrs look congress first family and other talk leaders congress example chidambaram and his son,1
need worry csk will won easily,1
not peddle such qstsns plzyou arent helping modinda such divisive questionsneither are doing the nation any good you assume many things that qstnpoltcl immaturitybad coz are associated with bjp encourage votes for modi frm every sect,1
what you have say about modi refusing wear skull cap the called face democracy the refuses democratic and here you are crying foul citizen,-1
wha modi,0
vote only modi ,0
now even modi supporters are getting slippers tejeswi mummy bula rahi hai promise today ,0
not modi that will speak any nonsense,0
modi extremist win election india but never won pakistan,1
shri @ @ crores indian people supports modi ,0
east many seats fight close and modis intensive rallies can change the final result ,1
but modi dont care,0
tomorrow public maharashtra andhrapradesh telangana will face april fool jhoot jumla brainwash from modi,0
participated the “main bhi chowkidar“ program held day which hon’ble prime minister india shri narendra modi interacted with thousands people across the nation hon’ble bjp state president shri kanna lakshmi narayana attended the event  ,1
yes your home phd fcuking your mother  ,0
bjp would tripura odisha surprise country narendra modi shared via zeenews,0
will support modi then why blame cong for not falling for this gathbandhan,0
now that the incumbent govt did fact respond not just effectively but manner that has reaffirmed india’ strength the global map being denounced for using pakistan means garner votes ironic how people refuse see the truth for what ,1
lalu convicted person eye never but culture different address honble just modi convit with due respect now specific any the corruption with authencity modiji can challenge cant either biased journalist dynast slave ,-1
today also have shri kamaraj nadar the name shri narendra modi please support bjp will the justice show our gratitude shri kamaraj who came out congress due ill treatment ,-1
people indiaeven bacha bacha now knows very well whom not vote they love india you people please dont work hard advertise this cause ,1
have ever seen wearing lac suit his own name  ,1
dear today you have dared modi for debate but please tell that you wont run away when asked tough questions students ,-1
india todays antifake news war room has found that the viral claim misleading such list has ever been released the far ,1
"why taking negative way she good person modi was tea seller was written his destiny that tea seller will become think positive",1
now confirmed modi supporter ☺☺☺,1
idiot first priyanka should see how she can win against graft done her mother brother husband and herself public know everything traitors like you are exception and have strength beat modi jee any stage not only election,1
think baby convinced her parents vote for modi,0
but you called him darpok modi was for years aint starting nigga,0
did the child say modi ,0
when narender modi contested two seats was not member parliament anytime but rahul pappu gandhi member parliament two times from amethi contesting two seats because saw difficult fool amethi people anymore bhag rahul bhag,-1
how can illetreate clown narinder modi ever sensible debating all this shameless wretch narinder modi can speak lies and spread rumorswhy dont you come for debate mamata banerjee dares rally ndtv ,0
will request bjps sister organisations not support modi shah mamata banerjee ,0
capture south will full swing between @p@ only condition modi forms government his own,1
playing with the insecurities the people with credible opposition leader tina factor opposition partyalliance seems promising realistically stable better government which again goes favour modi but then doubt that mass vote this,1
jha@ji forgets the real indian dream and democracy when narendra modi man who came from nothing wins over the whole country and gets elected the prime minister with thumping majority will again ,1
modi decimates congress front crores congress head shares funny videos and memes congress loses elections congress head evms were hacked ,-1
never seen duffer person like you want modi not vasundhra you remember what loksabha and what vidhansabha,0
great alliance motive only stop modi from power agenda narrative one point program dislodge honest dedicated visionary true nationalist leader,1
did some people say modi looking defensive these days  ,0
well spoke all about the evils “communism” “hindutva” but some fool issues notice stating that book excommunist’ manifesto” modi’ policy centric text read book expose yet another lies left ,0
azamgarh please poor working requirement jogiadhiyanath and narendar modi office delhi,-1
case dont look candidate then that case person like manmohan singh with support thug parties will become then what will happen our country once again another aap will arise after years corruption and losses vote for modi bharat mata jay,0
objective cover everything from akhlaq ramalingam question modi and rahul alike people will like you also please dont debate with @ people panel shouldnt more than including the anchor best luck,1
raga knows dat wont spared modi courts for his cheating corruption dat wants modi out power hook crook setting wid pak china bcoz dis only word gaddar,1
congress veteran sudhakar reddy joins bjp after meeting modi ,0
engine growth modi unveils indias first @ electric locomotive bihar ,1
modi promised @ lok sabha elections that best orop will given the soldiers india but the orop given much less than the promised fact soldiers are cheated sadly goudi media joining hands with the government speaking lies about orop ,1
save your agenda peddling ’ had with terror attacks every second day with maun mohan keeping “stoic” silence and india being made mockery whatever you can keep trying modi coming back with thumping majority and the time you darbaris are numbered,0
why these @ crores paid neerav modi not recovered from congress leaders this hard earned money tax payers ,-1
dear rss terrorist payal gawar what about modi killing @ plus muslims listen dysfunctional little pest take your pea size brain bleat somewhere else anyone who commits crime criminal irrespective hindumuslim stop giving criminals religious twist,-1
did you cover her interaction forum where she left ,0
there big project came into india modi dream project but not happened reality,0
have you ever listen about like gurukul where discipline are maintained even narendra modi rss only maintaining the culture indian more attack politics but someone attack hinduism rss will take action that proud for ,1
